episode,paired_eb_success,attribution_eligible,wrong_object_violation,native_success_after_replay,first_violation_step,recorded_steps,recorded_policy_steps,reason
task0_ep000.npz,1,1,1,0,45,91,81,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 45
task0_ep001.npz,1,1,1,0,50,148,138,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 50
task0_ep002.npz,1,1,1,0,47,94,84,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0047m > 0.0020m
task0_ep003.npz,1,1,1,0,51,86,76,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 51
task0_ep004.npz,1,1,1,0,45,86,76,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 45
task0_ep005.npz,1,1,1,0,48,84,74,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 48
task0_ep006.npz,1,1,1,0,45,83,73,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0026m > 0.0020m
task0_ep007.npz,1,1,1,0,52,89,79,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 52
task0_ep008.npz,1,1,1,0,52,84,74,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (gripper0_finger_joint1_tip <-> akita_black_bowl_2_main) at step 52
task0_ep009.npz,1,1,1,0,47,87,77,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 47
task0_ep010.npz,1,1,1,0,51,84,74,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (gripper0_finger_joint1_tip <-> akita_black_bowl_2_main) at step 51
task0_ep011.npz,1,1,1,0,52,86,76,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 52
task0_ep012.npz,1,1,1,0,53,121,111,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 53
task0_ep013.npz,1,1,1,0,76,123,113,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 76
task0_ep014.npz,1,1,1,0,58,89,79,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0054m > 0.0020m
task0_ep015.npz,1,1,1,0,47,84,74,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 47
task0_ep016.npz,1,1,1,0,54,90,80,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0031m > 0.0020m
task0_ep017.npz,1,1,1,0,47,83,73,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 47
task0_ep018.npz,1,1,1,0,45,95,85,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 45
task0_ep019.npz,1,1,1,0,57,93,83,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0029m > 0.0020m
task0_ep020.npz,1,1,1,0,56,118,108,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0032m > 0.0020m
