episode,attempt,grasp_offset_x_m,grasp_offset_y_m,grasp_verified,grasp_lift_m,safe_success,task_success,native_task_success,place_xy_offset_m,place_bottom_gap_m,place_xy_sanity_ok,occluder_displacement_m,occluder_stable,reason,failure_stage,failure_initial_error_m,failure_best_error_m,failure_final_error_m,gripper_close_sign,gripper_open_sign,gripper_aperture_after_minus,gripper_aperture_after_plus,steps
0,3,0.0,0.033476685683882,1,0.13080923991961513,1,True,True,0.005628535714261954,-0.10081852793459811,True,0.00017243501833293256,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
1,0,0.0,0.033476685683882,1,0.13080923991961468,1,True,True,0.005628536052877424,-0.10081852794065915,True,0.00021704657788273072,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
2,0,0.0,0.033476685683882,1,0.1308092399196098,1,True,True,0.005628535694403471,-0.10081852793437962,True,0.00017901030063437586,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
3,0,0.0,0.033476685683882,1,0.1308092399196138,1,True,True,0.005628535680407692,-0.10081852793422896,True,0.0002145530262318561,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
4,0,0.0,0.033476685683882,1,0.13080923991961313,1,True,True,0.00562853570550963,-0.10081852793450108,True,0.00019332401934151424,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
5,0,0.0,0.033476685683882,1,0.13080923991961158,1,True,True,0.005628535726469043,-0.10081852793473278,True,0.0005189371252882006,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
6,0,0.0,0.033476685683882,1,0.13080923991961468,1,True,True,0.005628536052877424,-0.10081852794065915,True,0.0008325251721883107,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
7,0,0.0,0.033476685683882,1,0.1308092399196109,1,True,True,0.00562853570185373,-0.10081852793445778,True,0.0013342504686935147,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
8,0,0.0,0.033476685683882,1,0.13080923991961402,1,True,True,0.005628535689234564,-0.10081852793432344,True,0.0001975248254115499,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
9,0,0.0,0.033476685683882,1,0.1308092399196138,1,True,True,0.005628535680407692,-0.10081852793422896,True,0.00039007397901643574,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
10,0,0.0,0.033476685683882,1,0.1308092399196129,1,True,True,0.005628535711445777,-0.10081852793456758,True,0.00017010246774877785,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
11,0,0.0,0.033476685683882,1,0.1308092399196138,1,True,True,0.005628535680407692,-0.10081852793422896,True,0.00016719708335592582,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
12,0,0.0,0.033476685683882,1,0.13080923991961335,1,True,True,0.005628535697929761,-0.10081852793441859,True,0.00016913690487024887,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
13,0,0.0,0.033476685683882,1,0.1308092399196129,1,True,True,0.005628535675687964,-0.10081852793418034,True,0.00022771708576000256,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
14,0,0.0,0.033476685683882,1,0.1308092399196158,1,True,True,0.005628535680812711,-0.10081852793423351,True,0.00018322634731901508,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
15,0,0.0,0.033476685683882,1,0.13080923991961513,1,True,True,0.005628536084932894,-0.10081852794087454,True,0.0004672122583870466,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
16,0,0.0,0.033476685683882,1,0.1308092399196109,1,True,True,0.005628535688540497,-0.10081852793431356,True,0.00020344804434187705,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
17,0,0.0,0.033476685683882,1,0.13080923991961468,1,True,True,0.005628536052877424,-0.10081852794065915,True,0.00022171536670131573,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
18,0,0.0,0.033476685683882,1,0.1308092399196129,1,True,True,0.005628535708593249,-0.10081852793453494,True,0.00018396258051891828,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
19,0,0.0,0.033476685683882,1,0.13080923991961646,1,True,True,0.0056285357024061415,-0.100818527934468,True,0.00017501255652690624,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
20,0,0.0,0.033476685683882,1,0.13080923991961535,1,True,True,0.005628535715528605,-0.10081852793461255,True,0.00021035103236970133,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
21,0,0.0,0.033476685683882,1,0.13080923991961402,1,True,True,0.005628535716317398,-0.10081852793461787,True,0.0011860775694644585,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
22,0,0.0,0.033476685683882,1,0.13080923991961624,1,True,True,0.005628535701243681,-0.10081852793445378,True,0.00022027851387510343,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
23,0,0.0,0.033476685683882,1,0.13080923991961224,1,True,True,0.005628535688077123,-0.10081852793431201,True,0.00020863490156784465,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
24,0,0.0,0.033476685683882,1,0.13080923991961624,1,True,True,0.005628535701243681,-0.10081852793445378,True,0.0002342080493242145,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
25,0,0.0,0.033476685683882,1,0.13080923991961313,1,True,True,0.005628535695211972,-0.10081852793424151,True,0.00021257516479631646,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
26,0,0.0,0.033476685683882,1,0.1308092399196138,1,True,True,0.005628535680407692,-0.10081852793422896,True,0.00021231339139671687,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
27,0,0.0,0.033476685683882,1,0.13080923991961113,1,True,True,0.005628535714273962,-0.100818527934594,True,0.0006914314012052599,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
28,0,0.0,0.033476685683882,1,0.13080923991961735,1,True,True,0.0056285357029415214,-0.10081852793447343,True,0.00017527983310471716,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
29,0,0.0,0.033476685683882,1,0.13080923991961402,1,True,True,0.005628535689234564,-0.10081852793432344,True,0.00019629892750539676,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
30,0,0.0,0.033476685683882,1,0.13080923991961446,1,True,True,0.005628535686932726,-0.10081852793429913,True,0.0001824084161444348,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
31,0,0.0,0.033476685683882,1,0.13080923991961046,1,True,True,0.00562853567164707,-0.10081852793413637,True,0.00016948723703059647,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
32,0,0.0,0.033476685683882,1,0.1308092399196098,1,True,True,0.005628535694403471,-0.10081852793437962,True,0.00020730723674731996,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
33,0,0.0,0.033476685683882,1,0.13080923991961135,1,True,True,0.005628535697794106,-0.10081852793441748,True,0.0001848233988179348,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
34,0,0.0,0.033476685683882,1,0.1308092399196109,1,True,True,0.0056285356853992335,-0.10081852793428248,True,0.0002045825878532348,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
35,0,0.0,0.033476685683882,1,0.13080923991961313,1,True,True,0.00562854152213882,-0.10081852796278923,True,0.00017693898289129347,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
36,0,0.0,0.033476685683882,1,0.13080923991961335,1,True,True,0.005628535701439114,-0.10081852793445689,True,0.00018169247995585957,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,472
