episode,episode_idx,eb_success,actions_replayed,policy_actions_replayed,er_task_success,arm_contact,gripper_contact,held_object_contact,arm_first_step,gripper_first_step,held_object_first_step,first_contact_step,primary_component,primary_tie,intended_primary,arm_max_obstacle_displacement_m,intended_contact,unintended_contact,arm_reason,gripper_reason,held_object_reason
taskbddl_ep000.npz,0,1,96,86,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878884,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep001.npz,1,1,86,76,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878359,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep002.npz,2,1,87,77,0,1,0,0,7,,,7,arm,0,1,0.000597609176787725,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep003.npz,3,1,86,76,1,1,0,0,7,,,7,arm,0,1,0.0005976091767881766,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep004.npz,4,1,89,79,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878905,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep005.npz,5,1,89,79,1,1,0,0,7,,,7,arm,0,1,0.0005976091767879455,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep006.npz,6,1,86,76,0,1,0,0,7,,,7,arm,0,1,0.0005976091767878353,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep007.npz,7,1,85,75,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878905,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep008.npz,8,1,88,78,1,1,0,0,7,,,7,arm,0,1,0.0005976091767881766,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
taskbddl_ep009.npz,9,1,88,78,1,1,0,0,7,,,7,arm,0,1,0.0005976091767878353,1,0,l1b_replay_arm: component=arm phase=pre_grasp contacted protected obstacle (l1_b_goal_arm_gate_1_main <-> robot0_link7) at step 7.,,
