episode,attempt,grasp_offset_x_m,grasp_offset_y_m,grasp_verified,grasp_lift_m,safe_success,task_success,native_task_success,place_xy_offset_m,place_bottom_gap_m,place_xy_sanity_ok,occluder_displacement_m,occluder_stable,reason,failure_stage,failure_initial_error_m,failure_best_error_m,failure_final_error_m,gripper_close_sign,gripper_open_sign,gripper_aperture_after_minus,gripper_aperture_after_plus,steps,video_path
0,3,0.0,0.033476685683882,1,0.1292060755886152,1,True,True,0.05930168429730204,-0.09693490486934153,True,2.9033221603327507e-05,1,,,nan,nan,nan,1.0,-1.0,0.07830473230972605,0.021825167275084996,622,experiments/logs/l1b_heavy_final/l1b4_native_arm/safe_reference_videos/task4_ep000_attempt03_safe.mp4
1,0,0.0,0.033476685683882,1,0.14015058192513752,1,True,True,0.06549220316335998,-0.09693490486934153,False,2.9033221602887494e-05,1,,,nan,nan,nan,1.0,-1.0,0.07830473230972604,0.021825167275084996,608,experiments/logs/l1b_heavy_final/l1b4_native_arm/safe_reference_videos/task4_ep001_attempt00_safe.mp4
2,0,0.0,0.033476685683882,1,0.14038257767032525,1,True,True,0.06722987224960537,-0.09693490486934153,False,2.9033221603163437e-05,1,,,nan,nan,nan,1.0,-1.0,0.07830473230972604,0.021825167275084996,620,experiments/logs/l1b_heavy_final/l1b4_native_arm/safe_reference_videos/task4_ep002_attempt00_safe.mp4
3,0,0.0,0.033476685683882,1,0.14037320269119224,1,True,True,0.06519239544697666,-0.09693490486934131,False,2.9033221604048688e-05,1,,,nan,nan,nan,1.0,-1.0,0.07830473230972605,0.021825167275084996,602,experiments/logs/l1b_heavy_final/l1b4_native_arm/safe_reference_videos/task4_ep003_attempt00_safe.mp4
4,7,0.0,0.04463558091184267,1,0.13967601959150888,1,True,True,0.06699371332841603,-0.09693490486934131,False,2.903322160243702e-05,1,,,nan,nan,nan,1.0,-1.0,0.07830473230972604,0.021825167275084996,623,experiments/logs/l1b_heavy_final/l1b4_native_arm/safe_reference_videos/task4_ep004_attempt07_safe.mp4
5,0,0.0,0.04463558091184267,1,0.13980405349632663,1,True,True,0.06944931391125825,-0.09693490486934109,False,2.8408134421602443e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,597,
6,0,0.0,0.04463558091184267,1,0.13947258877442892,1,True,True,0.06994324090074952,-0.09693490486934153,False,2.8408134422262556e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,604,
7,0,0.0,0.04463558091184267,1,0.13948349605783095,1,True,True,0.06883455958626138,-0.09693490486934131,False,2.8408134421984275e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,590,
8,0,0.0,0.04463558091184267,1,0.13949735524525864,1,True,True,0.06991117791850442,-0.09693490486934153,False,2.840813442291784e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,598,
9,0,0.0,0.04463558091184267,1,0.1397403432073282,1,True,True,0.07100984598765482,-0.09693490486934131,False,2.840813442225731e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,594,
10,0,0.0,0.04463558091184267,1,0.13966238467482606,1,True,True,0.06925865093541721,-0.09693490486934153,False,2.8408134422146787e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,599,
11,0,0.0,0.04463558091184267,1,0.13973183114215948,1,True,True,0.06979046608373528,-0.09693490486934153,False,2.8408134422479017e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,610,
12,0,0.0,0.04463558091184267,1,0.13836665648636137,1,True,True,0.0680762070043682,-0.09693490486934131,False,2.8408134422423753e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,607,
13,0,0.0,0.04463558091184267,1,0.13946418828566964,1,True,True,0.0682076880382669,-0.09693490486934153,False,2.840813442225773e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,639,
14,4,0.0,0.033476685683882,1,0.14047354208926055,1,True,True,0.06945809164883503,-0.09693490486934153,False,2.8408134422038645e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,591,
15,7,0.0,0.04463558091184267,1,0.13948179253574533,1,True,True,0.06459284635693277,-0.09693490486934131,False,2.8408134421991485e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,624,
16,0,0.0,0.04463558091184267,1,0.13956972216097496,1,True,True,0.07024724740390685,-0.09693490486934153,False,2.8408134422421788e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,608,
17,0,0.0,0.04463558091184267,1,0.13964146342958228,1,True,True,0.06666901511408649,-0.09693490486934131,False,2.8408134422589308e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,619,
18,0,0.0,0.04463558091184267,1,0.1395833588416172,1,True,True,0.06866381489593829,-0.09693490486934109,False,2.840813442192812e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,606,
19,0,0.0,0.04463558091184267,1,0.1397613480318608,1,True,True,0.07201873385147883,-0.09693490486934153,False,2.8408134422104398e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,608,
20,0,0.0,0.04463558091184267,1,0.13982998649239187,1,True,True,0.06666532592177472,-0.09693490486934153,False,2.840813442270007e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,621,
21,0,0.0,0.04463558091184267,1,0.13964070447742294,1,True,True,0.07180323123468303,-0.09693490486934131,False,2.840813442263432e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,598,
22,4,0.0,0.033476685683882,1,0.140313609353795,1,True,True,0.06835298815563476,-0.09693490486934153,False,2.840813442259741e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,591,
23,0,0.0,0.033476685683882,1,0.12820388397340798,1,True,True,0.06082421424333207,-0.09693490486934131,False,2.8408134421376384e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,589,
24,7,0.0,0.04463558091184267,1,0.1398045269098761,1,True,True,0.07338814596478586,-0.09693490486934131,False,2.8408134422260588e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,595,
25,0,0.0,0.04463558091184267,1,0.13958779815934308,1,True,True,0.06639622272485368,-0.09693490486934131,False,2.8408134422423753e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832575,616,
26,4,0.0,0.033476685683882,1,0.14004133703625155,1,True,True,0.06402076003837999,-0.09693490486934131,False,3.634865921383721e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585757,0.021792610414832568,598,
27,0,0.0,0.033476685683882,1,0.14034092465326686,1,True,True,0.06729506859158997,-0.09693490486934131,False,2.841106698987537e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,590,
28,0,0.0,0.033476685683882,1,0.1403276584081833,1,True,True,0.06394525083973783,-0.09693490486934131,False,2.8408134422256657e-05,1,,,nan,nan,nan,1.0,-1.0,0.07582449380585755,0.021792610414832575,612,
