episode_idx,eb_success,calibrated,attempts,invalid_candidates,candidate_held_hits,candidate_arm_hits,candidate_gripper_hits,path_step,risk_x,risk_y,held_object_contact,arm_contact,gripper_contact,tilt_deg,displacement_m,penetration_m
0,1,1,192,163,3,8,23,77,-0.010243286974290312,0.045271100307206366,1,0,0,49.59387841481738,0.021556811947668075,5.547500796106554e-05
1,1,1,147,108,4,17,33,74,-0.002388755215310765,0.08023091968485284,1,0,0,45.930534738724575,0.020727755491484076,2.800802085467184e-05
2,1,1,367,325,1,8,28,77,0.005428272640144505,0.07167237495819408,1,0,0,52.273089024481436,0.019351079713926602,7.184900391800841e-05
3,1,1,377,338,1,17,36,76,0.005494562822990073,0.0790362933948944,1,0,0,45.41016727044979,0.01631040202910255,0.00021206115408015785
4,1,0,400,372,1,2,19,,,,0,0,0,,,
5,1,1,123,83,5,34,32,118,-0.0013837421681397455,0.03596121958850332,1,0,0,48.14378002609627,0.022458020262473823,8.711107893381978e-05
6,1,0,400,303,0,23,64,,,,0,0,0,,,
7,1,1,39,14,4,13,17,83,-0.03029282608627729,0.015444763856780903,1,0,0,45.847040494795664,0.016930895250277734,0.0002778511934443335
8,1,0,400,332,2,4,67,,,,0,0,0,,,
9,1,0,400,313,1,8,81,,,,0,0,0,,,
10,1,0,400,328,2,8,59,,,,0,0,0,,,
11,1,1,2,0,1,0,0,81,-0.01464517107955797,0.06063646874778466,1,0,0,53.26890400103362,0.017814226507376248,4.923415498586355e-05
12,1,0,400,336,0,34,59,,,,0,0,0,,,
13,1,0,400,383,0,2,9,,,,0,0,0,,,
14,1,1,242,202,2,12,34,76,0.0002183394270393324,0.07441013631844387,1,0,0,46.68842526378419,0.024096338920265598,2.304608465369083e-06
15,1,0,400,349,0,2,49,,,,0,0,0,,,
16,1,1,181,140,5,9,36,78,-0.006748064915895732,0.05252139628749375,1,0,0,45.74198840914199,0.013705268174673622,0.00026116559858589683
17,1,0,400,301,1,20,92,,,,0,0,0,,,
18,1,1,121,104,4,2,13,75,-0.09542266142837312,0.0768865918397689,1,0,0,48.11420305058049,0.0412180554729141,0.00016578281232318415
19,1,1,312,279,3,3,29,74,-0.11324654594900395,0.08771758532075632,1,0,0,48.77540453442732,0.033093149052576175,0.0002706328372381814
20,1,0,400,332,0,21,46,,,,0,0,0,,,
21,1,1,145,138,3,3,3,75,-0.11357242205072196,0.0793882592996058,1,0,0,50.147659260705396,0.01986854500413509,0.00024264520489677253
22,1,1,316,261,2,3,52,74,-0.09655469137343987,0.06952887166696851,1,0,0,55.406614538655134,0.03428880229848037,2.4250245525775966e-05
23,1,0,400,354,2,5,43,,,,0,0,0,,,
24,1,1,217,181,2,23,32,77,-0.023092639787124385,0.0477580501115454,1,0,0,48.72469010406245,0.016164018900844342,9.65419920823614e-05
25,1,0,400,397,0,2,3,,,,0,0,0,,,
26,1,0,400,364,0,15,33,,,,0,0,0,,,
27,1,0,400,346,2,14,48,,,,0,0,0,,,
28,1,1,201,189,1,0,9,74,-0.10591382028666871,0.08298912530725458,1,0,0,45.82348164006526,0.03838713418733857,0.0002139670453861764
29,1,0,400,330,0,38,54,,,,0,0,0,,,
30,1,1,1,0,1,0,0,81,-0.00934318672745885,0.06265556479342571,1,0,0,47.795656764466315,0.015818329845080196,0.00012834742945513292
31,1,1,354,331,2,3,17,76,-0.10440352584978238,0.08834659520487102,1,0,0,46.02736838144952,0.04079632539267398,0.0001369681972081052
32,1,0,400,376,0,5,12,,,,0,0,0,,,
33,1,1,86,66,2,11,18,76,-0.0025532797237537742,0.06080322054000888,1,0,0,46.33862406707832,0.022272047673306927,0.0001236728717286866
34,1,0,400,319,3,8,77,,,,0,0,0,,,
35,1,0,400,309,2,11,88,,,,0,0,0,,,
36,1,0,400,372,0,12,19,,,,0,0,0,,,
37,1,0,400,398,0,0,2,,,,0,0,0,,,
38,1,0,400,337,0,13,41,,,,0,0,0,,,
39,1,1,290,240,4,24,47,74,-0.010589461805279476,0.06682780890072923,1,0,0,52.05191323469953,0.017684818366528375,4.80414517126616e-05
40,1,1,182,141,4,10,34,76,0.008401168482698451,0.0690980576734106,1,0,0,50.03923382559599,0.022781051468907867,3.423096944263974e-05
41,1,0,400,305,1,13,89,,,,0,0,0,,,
42,1,1,131,87,1,19,35,76,-0.013909619794266574,0.06331636865812829,1,0,0,53.947991279345935,0.01808297233645944,1.3591713615876534e-05
43,1,1,312,307,2,1,3,79,-0.1054471882537753,0.07926179956604057,1,0,0,47.019808890930065,0.033252017522682205,1.1885519229911649e-05
44,1,0,400,391,0,1,4,,,,0,0,0,,,
45,1,0,400,331,1,28,60,,,,0,0,0,,,
46,1,0,400,296,0,29,75,,,,0,0,0,,,
47,1,0,400,383,0,1,14,,,,0,0,0,,,
48,1,1,146,87,4,21,53,76,-0.00988495168472766,0.05363656655835854,1,0,0,46.2602798661919,0.015233682800046557,6.618545389418739e-05
49,1,0,400,329,1,20,59,,,,0,0,0,,,
50,1,0,400,284,0,27,77,,,,0,0,0,,,
51,1,0,400,306,0,23,88,,,,0,0,0,,,
52,1,0,400,367,0,0,24,,,,0,0,0,,,
53,1,1,218,181,4,1,36,74,-0.1037272318202673,0.08172004786614175,1,0,0,49.96232094465866,0.04180618761257248,0.00014808736249414395
54,1,1,307,253,2,13,49,77,0.006865411553918635,0.06265198416730586,1,0,0,47.81162911453102,0.013882261312110943,0.00014344319517484188
55,1,1,367,255,2,29,80,79,-0.0037340126548177643,0.0841235490803025,1,0,0,57.247696312754584,0.02300328539928875,0.00014320476197327014
56,1,0,400,395,0,0,5,,,,0,0,0,,,
57,1,1,311,279,2,2,30,74,-0.08279533364411165,0.09873003777768335,1,0,0,45.24142015753602,0.035725734998495476,0.00012648685334752663
58,1,1,15,6,2,5,8,83,-0.03164044760122904,0.017987161370121435,1,0,0,53.579890307898744,0.017720030649838136,0.00022251232570661816
59,1,0,400,356,0,6,41,,,,0,0,0,,,
60,1,0,400,358,1,2,40,,,,0,0,0,,,
61,1,0,400,352,0,15,47,,,,0,0,0,,,
62,0,0,0,0,0,0,0,,,,0,0,0,,,
63,1,1,201,193,1,0,7,76,-0.0838812848001791,0.06681231854199127,1,0,0,46.01445303591359,0.03898141605469673,0.00017277020502964868
64,1,0,400,253,0,30,87,,,,0,0,0,,,
65,1,0,400,385,0,2,9,,,,0,0,0,,,
66,1,1,247,181,10,36,52,120,0.008625048773222774,0.06872043628987715,1,0,0,51.55118747970924,0.017115547455453902,2.2891103907604453e-05
67,1,0,400,380,1,5,18,,,,0,0,0,,,
68,1,1,261,251,3,2,5,76,-0.0993786833014162,0.08050206713895679,1,0,0,48.94551717183991,0.03581507905983644,0.000212313765394892
69,1,0,400,323,0,12,69,,,,0,0,0,,,
70,1,0,400,376,0,12,20,,,,0,0,0,,,
71,1,0,400,386,0,5,10,,,,0,0,0,,,
72,1,0,400,398,0,2,2,,,,0,0,0,,,
73,1,1,121,75,4,21,42,83,-0.0015211086979486123,0.07539258112380151,1,0,0,53.3965375872269,0.01772866653110575,2.5314709473038002e-05
74,1,0,400,379,1,3,16,,,,0,0,0,,,
75,1,1,74,55,5,4,16,75,-0.006474452468163007,0.07767393738856092,1,0,0,54.5404407484211,0.019022714619926353,2.5507520589590396e-05
76,1,0,400,386,0,5,13,,,,0,0,0,,,
77,1,1,80,52,5,7,20,77,-0.025374828745567447,0.07039153962780888,1,0,0,48.17048042153864,0.01674752224504371,3.490751426006733e-05
