condition,episode,occupant_pixels_t0,occupant_pixels_policy_start,anchor_pixels_t0,anchor_pixels_policy_start,target_pixels_t0,target_pixels_policy_start,occupant_in_goal_policy_start,world_drift_m,world_tilt_change_deg,relative_drift_m,relative_rotation_deg,gate_drift_m,gate_rotation_deg,anchor_excess_vs_eb_m,linear_speed_m_s,angular_speed_rad_s,final_world_linear_speed_m_s,final_world_angular_speed_rad_s,target_contact,robot_contact,support_contact_all_steps,collision_extent_x_m,collision_extent_y_m,collision_extent_z_m,visibility_ok,physics_ok,passed
eb,0,755,755,3099,2977,525,685,0,8.638922910364499e-16,0.0,0.03852548204791074,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,1,755,755,3063,2928,525,685,0,8.638922910364499e-16,0.0,0.038507487826530115,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,2,755,755,3142,3017,525,685,0,8.638922910364499e-16,0.0,0.038542875315036536,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,3,755,755,3134,3022,525,686,0,8.638922910364499e-16,0.0,0.03854984284431567,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.055548499778131e-15,3.628454673620168e-14,3.0525377706966073e-15,3.625192825673658e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
eb,4,755,755,3170,3046,525,685,0,8.638922910364499e-16,0.0,0.03843784677010062,0.27454355240674067,8.604228440844963e-16,0.0,0.0,3.0563288394390764e-15,3.6221693769877536e-14,3.053514779580539e-15,3.6095953936063e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015556,1,1,1
er,0,232,233,2867,2743,525,685,1,0.039754339060178924,5.4868208394509566e-06,5.885084512084462e-07,0.0014257406389525146,5.523366696831507e-05,0.04278911189332579,8.88636679811024e-06,0.0011351554577857946,0.015266427742477938,7.273977469276712e-12,2.7214903223716196e-12,0,0,1,0.036760747997057634,0.05622158877742467,0.1456105133497413,1,1,1
er,1,233,234,2828,2693,525,685,1,0.03975433906017877,5.486820924716085e-06,5.88508464622402e-07,0.0014257375713669944,5.5233666966853604e-05,0.04278911201257357,8.886366798592316e-06,0.0011351554579412321,0.01526642781229219,7.273936367148144e-12,2.7215720026399744e-12,0,0,1,0.03676074799706321,0.056221588777430886,0.14561051334974145,1,1,1
er,2,235,236,2907,2781,525,685,1,0.03975433906017881,5.486820882083521e-06,5.885084432382575e-07,0.0014257447290562748,5.5233666968263745e-05,0.04278911192739659,8.886366798313939e-06,0.0011351554576487328,0.015266427870470733,7.274513810047773e-12,2.730355659472286e-12,0,0,1,0.036760747997053665,0.05622158877742023,0.14561051334974134,1,1,1
er,3,244,243,2890,2778,525,686,1,0.03975433906017894,5.486820853661811e-06,5.885084545702393e-07,0.0014257406389525146,5.5233666969425935e-05,0.04278911199553818,8.886366798178988e-06,0.0011351554578420923,0.015266427829745752,7.274509935178155e-12,2.7271334300120055e-12,0,0,1,0.03676074799706611,0.056221588777434106,0.14561051334974132,1,1,1
er,4,248,250,2922,2796,525,685,1,0.039754339060178834,5.486820896294375e-06,5.885084449712209e-07,0.0014257375713669944,5.523366696791605e-05,0.04278911194443198,8.88636679822374e-06,0.0011351554576752181,0.015266427876288584,7.272629211637429e-12,2.7156091781763722e-12,0,0,1,0.036760747997061756,0.05622158877742933,0.1456105133497414,1,1,1
ec,0,780,780,3099,2977,525,685,0,8.673617379884035e-16,0.0,0.03852547528973272,0.27454355241470585,8.638922910364499e-16,0.0,0.0,4.03662978582958e-15,5.012835124807663e-14,3.9447881886189454e-15,5.012835124807663e-14,0,0,1,0.036760041174130925,0.05622003872004594,0.1456100396101555,1,1,1
ec,1,780,780,3063,2928,525,685,0,1.734723475976807e-15,0.0,0.03850748106835228,0.2745435524226711,1.7277845820728999e-15,1.7075472925031877e-06,0.0,3.939783947977679e-15,5.109170632232176e-14,3.804865611947896e-15,4.5525654281230316e-14,0,0,1,0.036760041174130925,0.05622003872004591,0.14561003961015548,1,1,1
ec,2,780,780,3142,3017,525,685,0,8.673617379884035e-16,0.0,0.0385428685568583,0.27454355241470585,8.638922910364499e-16,0.0,0.0,3.0515739041752196e-15,3.9047912384409406e-14,3.0515739041752196e-15,3.5976558652956986e-14,0,0,1,0.036760041174130925,0.05622003872004594,0.14561003961015553,1,1,1
ec,3,780,780,3134,3022,525,686,0,1.734723475976807e-15,0.0,0.03854983608613727,0.27454355239081024,1.7277845820728999e-15,0.0,0.0,4.611008126340973e-15,5.742709981887109e-14,4.5518897607571344e-15,5.738124912677626e-14,0,0,1,0.036760041174130925,0.05622003872004595,0.14561003961015562,1,1,1
ec,4,780,780,3170,3046,525,685,0,8.673617379884035e-16,0.0,0.03843784001192374,0.2745435524120508,8.638922910364499e-16,0.0,0.0,3.8712757962720335e-15,4.686091675614574e-14,3.868783494363458e-15,4.6623018279751787e-14,0,0,1,0.036760041174130925,0.056220038720045926,0.1456100396101555,1,1,1
