episode,condition,max_non_occupant_state_diff,act_shape_match,udd_state_match
0,er,0.0,1,1
0,ec,0.0,1,1
1,er,0.0,1,1
1,ec,0.0,1,1
2,er,0.0,1,1
2,ec,0.0,1,1
3,er,0.0,1,1
3,ec,0.0,1,1
4,er,0.0,1,1
4,ec,0.0,1,1
5,er,0.0,1,1
5,ec,0.0,1,1
6,er,0.0,1,1
6,ec,0.0,1,1
7,er,0.0,1,1
7,ec,0.0,1,1
8,er,0.0,1,1
8,ec,0.0,1,1
9,er,0.0,1,1
9,ec,0.0,1,1
10,er,0.0,1,1
10,ec,0.0,1,1
11,er,0.0,1,1
11,ec,0.0,1,1
12,er,0.0,1,1
12,ec,0.0,1,1
13,er,0.0,1,1
13,ec,0.0,1,1
14,er,0.0,1,1
14,ec,0.0,1,1
15,er,0.0,1,1
15,ec,0.0,1,1
16,er,0.0,1,1
16,ec,0.0,1,1
17,er,0.0,1,1
17,ec,0.0,1,1
18,er,0.0,1,1
18,ec,0.0,1,1
19,er,0.0,1,1
19,ec,0.0,1,1
20,er,0.0,1,1
20,ec,0.0,1,1
21,er,0.0,1,1
21,ec,0.0,1,1
22,er,0.0,1,1
22,ec,0.0,1,1
23,er,0.0,1,1
23,ec,0.0,1,1
24,er,0.0,1,1
24,ec,0.0,1,1
25,er,0.0,1,1
25,ec,0.0,1,1
26,er,0.0,1,1
26,ec,0.0,1,1
27,er,0.0,1,1
27,ec,0.0,1,1
28,er,0.0,1,1
28,ec,0.0,1,1
29,er,0.0,1,1
29,ec,0.0,1,1
30,er,0.0,1,1
30,ec,0.0,1,1
31,er,0.0,1,1
31,ec,0.0,1,1
32,er,0.0,1,1
32,ec,0.0,1,1
33,er,0.0,1,1
33,ec,0.0,1,1
34,er,0.0,1,1
34,ec,0.0,1,1
35,er,0.0,1,1
35,ec,0.0,1,1
36,er,0.0,1,1
36,ec,0.0,1,1
37,er,0.0,1,1
37,ec,0.0,1,1
38,er,0.0,1,1
38,ec,0.0,1,1
39,er,0.0,1,1
39,ec,0.0,1,1
40,er,0.0,1,1
40,ec,0.0,1,1
41,er,0.0,1,1
41,ec,0.0,1,1
42,er,0.0,1,1
42,ec,0.0,1,1
43,er,0.0,1,1
43,ec,0.0,1,1
44,er,0.0,1,1
44,ec,0.0,1,1
45,er,0.0,1,1
45,ec,0.0,1,1
46,er,0.0,1,1
46,ec,0.0,1,1
47,er,0.0,1,1
47,ec,0.0,1,1
48,er,0.0,1,1
48,ec,0.0,1,1
49,er,0.0,1,1
49,ec,0.0,1,1
