condition,episode,step,gate_drift_m,gate_rotation_deg,world_drift_m,world_rotation_deg,relative_drift_m,relative_rotation_deg,linear_speed_m_s,angular_speed_rad_s,world_linear_speed_m_s,world_angular_speed_rad_s,relative_linear_speed_m_s,relative_angular_speed_rad_s,anchor_excess_vs_eb_m,occupant_in_goal,support_contact,support_bodies,target_contact,robot_contact,passed
eb,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,floor,0,0,1
eb,0,1,7.979727989493313e-17,0.0,7.979727989493313e-17,0.0,0.01176443798081438,1.045654894575938e-05,3.0522638789036503e-15,3.620737725887167e-14,3.0522638789036503e-15,3.620737725887167e-14,0.2352887596162876,3.6500241499888623e-06,0.0,0,1,floor,0,0,1
eb,0,2,1.6653345369377348e-16,0.0,1.6653345369377348e-16,0.0,0.04217233182325151,0.0662856487992957,3.0514179698244616e-15,3.612185535859091e-14,3.0514179698244616e-15,3.612185535859091e-14,0.6081585753085362,0.023134300720626087,0.0,0,1,floor,0,0,1
eb,0,3,2.5326962749261384e-16,0.0,2.5326962749261384e-16,0.0,0.03872749564336592,0.26565476523627524,3.0522883826892616e-15,3.615788912488063e-14,3.0522883826892616e-15,3.615788912488063e-14,0.06909553410052831,0.06959295263307137,0.0,0,1,floor,0,0,1
eb,0,4,3.400058012914542e-16,0.0,3.400058012914542e-16,0.0,0.0385340906288272,0.27417653745097564,3.0524273355371e-15,3.6177350459725215e-14,3.0524273355371e-15,3.6177350459725215e-14,0.0038749839370472534,0.0029746599881648613,0.0,0,1,floor,0,0,1
eb,0,5,4.2674197509029455e-16,0.0,4.2674197509029455e-16,0.0,0.03852585446808471,0.2745279440516996,3.0515404063576523e-15,3.618390998616174e-14,3.0515404063576523e-15,3.618390998616174e-14,0.0001649999291201358,0.00012265819127572165,0.0,0,1,floor,0,0,1
eb,0,6,5.134781488891349e-16,0.0,5.134781488891349e-16,0.0,0.03852549816758565,0.2745428881048784,3.0502822819928117e-15,3.6221693769877536e-14,3.0502822819928117e-15,3.6221693769877536e-14,7.137607458033322e-06,5.057621821307297e-06,0.0,0,1,floor,0,0,1
eb,0,7,6.002143226879753e-16,0.0,6.002143226879753e-16,0.0,0.038525482745618254,0.2745435241435238,3.0547712004776386e-15,3.601582827928983e-14,3.0547712004776386e-15,3.601582827928983e-14,3.08925916169701e-07,0.0,0.0,0,1,floor,0,0,1
eb,0,8,6.869504964868156e-16,0.0,6.869504964868156e-16,0.0,0.038525482078064846,0.2745435512119594,3.049972765499289e-15,3.615416841732714e-14,3.049972765499289e-15,3.615416841732714e-14,1.3371478261615492e-08,0.0,0.0,0,1,floor,0,0,1
eb,0,9,7.73686670285656e-16,0.0,7.73686670285656e-16,0.0,0.038525482049168225,0.2745435523722248,3.0563288394390764e-15,3.599638445271794e-14,3.0563288394390764e-15,3.599638445271794e-14,5.787885127797549e-10,0.0,0.0,0,1,floor,0,0,1
eb,0,10,8.604228440844963e-16,0.0,8.604228440844963e-16,0.0,0.03852548204791743,0.27454355240674067,3.053514779580539e-15,3.6095953936063e-14,3.053514779580539e-15,3.6095953936063e-14,2.505208402678968e-11,0.0,0.0,0,1,floor,0,0,1
eb,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,floor,0,0,1
eb,1,1,7.979727989493313e-17,0.0,7.979727989493313e-17,0.0,0.011764437136945517,1.045654894575938e-05,3.0522638789036503e-15,3.620737725887167e-14,3.0522638789036503e-15,3.620737725887167e-14,0.23528874273891032,3.6500241499888623e-06,0.0,0,1,floor,0,0,1
eb,1,2,1.6653345369377348e-16,0.0,1.6653345369377348e-16,0.0,0.04216798326705235,0.0662856487992957,3.0514179698244616e-15,3.612185535859091e-14,3.0514179698244616e-15,3.612185535859091e-14,0.608071621194293,0.023134300720626087,0.0,0,1,floor,0,0,1
eb,1,3,2.5326962749261384e-16,0.0,2.5326962749261384e-16,0.0,0.03871008460226367,0.26565476523627524,3.0522883826892616e-15,3.615788912488063e-14,3.0522883826892616e-15,3.615788912488063e-14,0.06935608752126067,0.06959295263307137,0.0,0,1,floor,0,0,1
eb,1,4,3.400058012914542e-16,0.0,3.400058012914542e-16,0.0,0.03851612053694703,0.27417653745097564,3.0524273355371e-15,3.6177350459725215e-14,3.0524273355371e-15,3.6177350459725215e-14,0.003886148475526877,0.0029746599881648613,0.0,0,1,floor,0,0,1
