episode,attempt,safe_success,violated,contact,release,offset_x_m,offset_y_m,grasp_offset_x_m,grasp_offset_y_m,rotate_sign,grasp_yaw_sign,grasp_yaw_deg,close_sign,aperture_minus,aperture_plus,grasp_aperture,grasp_best_error_m,lift_delta_m,target_post_release_max_xy_displacement_m,target_final_tilt_metric_deg,target_final_linear_speed_m_s,target_final_angular_speed_rad_s,target_final_in_region,target_final_support_contact,target_final_stable_streak,reason,trajectory_path,video_path
0,0,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744550415341829,0.008386481281648268,0.053169688848447624,0.005055526787025312,0.10441487075305073,0.025117997054277526,1.4731737337254027,5.2966792036179575e-12,6.431386936526889e-14,1,1,74,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state00-attempt00.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state00-attempt00.mp4
1,0,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744549655883225,0.008386481000822028,0.05316971014943492,0.005649842518039,0.10441390781099671,0.013382522201445491,2.53848100150678,8.461162534223352e-12,1.4184859320968876e-13,1,1,79,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state01-attempt00.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state01-attempt00.mp4
2,0,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744547898188789,0.008386479360725594,0.05316968971363917,0.005604240711841847,0.10441482566124022,0.015597649380266244,1.3144089610660483,9.080974633420743e-12,1.0399400413239256e-13,1,1,76,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state02-attempt00.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state02-attempt00.mp4
3,0,0,0,1,0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744554639412385,0.008386482046291076,0.053169693959581196,0.005106740396783,0.1044155549906392,0.0,0.0,0.0,0.0,0,0,0,native_task_failure,,
3,1,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,1.0,65.6633248601189,1.0,0.07744554639412385,0.008386482046291076,0.056193575209095084,0.005116299652745795,0.10430748554117479,0.013992409972285826,3.0423736886040227,6.777821847653957e-12,7.53201807604329e-14,1,1,79,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state03-attempt01.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state03-attempt01.mp4
4,0,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744554204365775,0.00838647977559728,0.053169690153989466,0.004871223423798371,0.10441536967743076,0.010710693236524411,0.42624137277652197,6.7715409115185374e-12,1.2155436662363083e-13,1,1,86,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state04-attempt00.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state04-attempt00.mp4
5,0,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744555525927829,0.008386480079164284,0.053169689024008565,0.004761919137985857,0.10441524554433497,0.0003795895127454544,0.010857450318150582,6.7632576233765565e-12,1.0112809589151437e-13,1,1,85,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state05-attempt00.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state05-attempt00.mp4
6,0,0,0,1,0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744558640328417,0.008386481408280449,0.053169688410225555,0.004746566355950284,0.10441523875761582,0.00642834567228465,4.895672247551091,0.012409247390549627,0.21503532540049136,0,0,0,native_task_failure,,
6,1,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,1.0,65.68848996668272,1.0,0.07744558640328417,0.008386481408280449,0.056230574158503535,0.005757905467839278,0.10430931531550648,0.014777533144018397,3.030848147055927,7.502942108072658e-12,1.3893900736073357e-13,1,1,80,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state06-attempt01.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state06-attempt01.mp4
7,0,1,0,1,1,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.07744559745499285,0.008386483272188414,0.05316968284404261,0.005534734737783237,0.10441389712722969,0.0005643391900243056,0.20647041912150707,6.856931364592523e-12,1.1381550390415738e-13,1,1,85,,experiments/logs/l1c5_mi_v1_prepare/safe_reference_trajectories/L1-C5-MI-v1-safe_reference-success-state07-attempt00.npz,review/L1-C5-MI-v1_task/safe_reference/L1-C5-MI-v1-safe_reference-success-state07-attempt00.mp4
