episode,release,placement_delta_xy_m,placement_adapted
task9_ep000.npz,0,0.0772077558051679,0
task9_ep001.npz,0,0.054267641959816086,0
task9_ep002.npz,1,0.03193188218212009,1
task9_ep003.npz,0,0.030302758643841098,0
task9_ep004.npz,0,0.08000033529918531,0
task9_ep005.npz,1,0.024942250474384732,1
task9_ep006.npz,0,0.06363092831142364,0
task9_ep007.npz,1,0.03540528254838358,1
task9_ep008.npz,1,0.028878426736307052,1
task9_ep009.npz,0,0.05197055234712088,0
task9_ep010.npz,1,0.016228370116023093,0
task9_ep011.npz,0,0.08079222480518121,0
task9_ep012.npz,1,0.032308480748858955,1
task9_ep013.npz,1,0.01370382388599251,0
task9_ep014.npz,1,0.02336752792869533,1
task9_ep015.npz,1,0.014422013715559541,0
task9_ep016.npz,0,0.038253120674264215,0
task9_ep017.npz,0,0.05813889410788403,0
task9_ep018.npz,1,0.018583133823188693,0
task9_ep019.npz,1,0.023270499433945508,1
task9_ep020.npz,1,0.02457425757859989,1
task9_ep021.npz,1,0.02648032296886436,1
task9_ep022.npz,1,0.007811588102969959,0
task9_ep023.npz,0,0.04406588428704806,0
task9_ep024.npz,0,0.043900818081744335,0
task9_ep025.npz,1,0.024164685668869246,1
task9_ep026.npz,0,0.03778276628874586,0
task9_ep027.npz,0,0.08169991474354033,0
task9_ep028.npz,0,0.04737824776611348,0
task9_ep029.npz,0,0.06801380284872532,0
task9_ep030.npz,1,0.03204647264285037,1
task9_ep031.npz,0,0.05582145457029164,0
task9_ep032.npz,1,0.02359658859028918,1
task9_ep033.npz,0,0.051958471261840895,0
task9_ep034.npz,0,0.05076296853870345,0
task9_ep035.npz,1,0.020467789740184497,1
task9_ep036.npz,1,0.0251319889864805,1
task9_ep037.npz,0,0.0939789232830483,0
task9_ep038.npz,0,0.07825298816889392,0
task9_ep039.npz,0,0.05430107819848402,0
task9_ep040.npz,1,0.027480449541506982,1
task9_ep041.npz,0,0.06527482827573697,0
task9_ep042.npz,1,0.01978940840714637,0
task9_ep043.npz,1,0.023020450508507508,1
task9_ep044.npz,0,0.024792628722403082,0
task9_ep045.npz,1,0.02143822642946708,1
task9_ep046.npz,1,0.02302914898751407,1
task9_ep047.npz,0,0.046569013471576805,0
task9_ep048.npz,1,0.02654001493499455,1
task9_ep049.npz,0,0.04813981909051771,0
