episode,risk_offset_x_m,risk_offset_y_m,passed,settle_max_relative_drift_m,settle_max_relative_rotation_deg,settle_max_linear_speed_m_s,settle_max_angular_speed_rad_s,settle_full_window_finite,wait_max_relative_drift_m,wait_max_relative_rotation_deg,wait_max_relative_linear_speed_m_s,wait_max_relative_angular_speed_rad_s,wait_max_world_linear_speed_m_s,wait_max_world_angular_speed_rad_s,wait_max_anchor_excess_m,wait_full_window_finite,full_window_inside,full_window_support,forbidden_target_contact,forbidden_robot_contact,occupant_pixels_t0,occupant_pixels_policy_start,max_non_occupant_state_diff
0,0.0,0.025,1,3.072778899892588e-12,4.353408482428141e-06,4.116098105908379e-12,7.482776981290496e-14,1,7.870309571718901e-07,0.0011822135578771669,1.6404431705343725e-05,0.0004156149434758567,0.489877767256535,0.17530586878840446,8.789140760393941e-06,1,1,1,0,0,184,172,0.0
1,0.0,0.025,1,3.072778469428634e-12,4.353408482428141e-06,4.115741683519262e-12,7.493619938190919e-14,1,7.870309517452769e-07,0.0011822110915539054,1.64044314627292e-05,0.0004156132338544671,0.48987776725652904,0.17530586879190413,8.789140759340868e-06,1,1,1,0,0,186,173,0.0
2,0.0,0.025,1,3.0727793635343088e-12,5.399738656763835e-06,4.115729156732928e-12,7.122714435930537e-14,1,7.87030963161005e-07,0.001182216024195283,1.640443183834681e-05,0.0004156151571780359,0.4898777672565272,0.17530586878984653,8.78914076094717e-06,1,1,1,0,0,186,171,0.0
3,0.0,0.025,1,3.0727792608843092e-12,4.829673078902935e-06,4.116345331120895e-12,8.10429057490426e-14,1,7.870309718145236e-07,0.001182210474972286,1.6404432103629717e-05,0.0004156132338544671,0.48987776725653553,0.17530586878983345,8.789140762161555e-06,1,1,1,0,0,181,184,0.0
4,0.0,0.025,1,3.0727792217644686e-12,4.353408482428141e-06,4.116101560479975e-12,7.480634421153402e-14,1,7.87030943077949e-07,0.0011822110915539054,1.640443125530017e-05,0.0004156143023686597,0.4898777672565351,0.17530586878975496,8.789140758632206e-06,1,1,1,0,0,182,180,0.0
5,0.0,0.025,1,3.0727781071958613e-12,4.676310850554341e-06,4.115745763107311e-12,7.501796630158114e-14,1,7.870309480381525e-07,0.0011822086252254989,1.6404431387065576e-05,0.00041561237904113506,0.4898777672565355,0.17530586878969937,8.789140759296232e-06,1,1,1,0,0,182,169,0.0
6,0.0,0.025,1,3.0727793974814893e-12,5.533085616490783e-06,4.1157490471109194e-12,7.114254333422046e-14,1,7.870309536654874e-07,0.0011822154076162363,1.6404431582172358e-05,0.0004156153708801052,0.48987776725656756,0.17530586878978965,8.789140759938397e-06,1,1,1,0,0,175,171,0.0
7,0.0,0.025,1,3.0727781970788067e-12,5.2630142203192075e-06,4.116096082548459e-12,7.487167488276889e-14,1,7.870309620269269e-07,0.001182210474972286,1.640443182513293e-05,0.0004156132338544671,0.48987776725654386,0.1753058687897329,8.789140760761086e-06,1,1,1,0,0,182,195,0.0
8,0.0,0.025,1,3.0727804408822704e-12,6.613302226726415e-06,4.115738213633327e-12,7.568941346916543e-14,1,7.870309437043416e-07,0.0011822135578771669,1.640443126404439e-05,0.00041561451607116857,0.48987776725652965,0.17530586879077903,8.789140758719091e-06,1,1,1,0,0,180,177,0.0
9,0.0,0.025,1,3.0727790389111528e-12,6.037091348628669e-06,4.116101989836678e-12,7.514647097882445e-14,1,7.870309633353811e-07,0.001182212941296834,1.640443185439954e-05,0.0004156143023686597,0.48987776725650506,0.1753058687892746,8.78914076107365e-06,1,1,1,0,0,171,185,0.0
10,0.0,0.025,1,3.0727768783514167e-12,6.037091348628669e-06,4.11555875822871e-12,7.489048887514796e-14,1,7.870309614219289e-07,0.0011822166407740081,1.6404431793746528e-05,0.0004156153708801052,0.48987776725651566,0.1753058687887331,8.789140760593226e-06,1,1,1,0,0,182,164,0.0
11,0.0,0.025,1,3.0727786351660947e-12,5.663293681020318e-06,4.11574532609525e-12,7.49678841657211e-14,1,7.870309881620394e-07,0.0011822154076162363,1.640443259025262e-05,0.0004156157982839143,0.4898777672565642,0.175305868790069,8.789140763801994e-06,1,1,1,0,0,180,183,0.0
12,0.0,0.025,1,3.072779404075927e-12,5.533085616490783e-06,4.115734820208546e-12,7.127570292809771e-14,1,7.870309501830941e-07,0.001182212941296834,1.6404431468004734e-05,0.0004156140886660409,0.4898777672565575,0.17530586878929472,8.789140759461436e-06,1,1,1,0,0,174,188,0.0
13,0.0,0.025,1,3.0727781612065382e-12,6.273929367455621e-06,4.115660939872448e-12,7.240633727521735e-14,1,7.870309488598136e-07,0.0011822098583903454,1.640443141352389e-05,0.0004156125927446329,0.48987776725650645,0.17530586879000476,8.78914075941996e-06,1,1,1,0,0,178,166,0.0
14,0.0,0.025,1,3.0727789213395702e-12,6.3890569402603996e-06,4.11571764219625e-12,8.064632591606012e-14,1,7.870309498560954e-07,0.0011822086252254989,1.640443147142564e-05,0.00041561216533752735,0.4898777672565193,0.17530586878823365,8.78914075942624e-06,1,1,1,0,0,180,181,0.0
15,0.0,0.025,1,3.0727787552175744e-12,5.2630142203192075e-06,4.1157403741931154e-12,7.479454992408812e-14,1,7.870309768998153e-07,0.0011822098583903454,1.6404432257171874e-05,0.00041561216533752735,0.4898777672565366,0.1753058687894847,8.789140762694473e-06,1,1,1,0,0,182,165,0.0
16,0.0,0.025,1,3.072777402896145e-12,6.722620413208828e-06,4.116105924477515e-12,7.364479845072548e-14,1,7.87030970655405e-07,0.0011822098583903454,1.640443208465039e-05,0.00041561302015129893,0.48987776725651627,0.17530586878952212,8.789140762066096e-06,1,1,1,0,0,173,189,0.0
17,0.0,0.025,1,3.072779523548881e-12,5.122641877509565e-06,4.115765384118711e-12,7.52003569315762e-14,1,7.870309559383608e-07,0.0011822123247161793,1.6404431656331072e-05,0.00041561366126047374,0.4898777672565217,0.17530586878899185,8.789140760202947e-06,1,1,1,0,0,182,188,0.0
18,0.0,0.025,1,3.07277902910727e-12,4.353408482428141e-06,4.1157366763910695e-12,7.487445834547655e-14,1,7.870309702415454e-07,0.0011822098583903454,1.6404432051850078e-05,0.0004156134475575254,0.48987776725652976,0.1753058687894338,8.789140761815571e-06,1,1,1,0,0,178,166,0.0
19,0.0,0.025,1,3.072778028654671e-12,6.3890569402603996e-06,4.115725332966939e-12,7.497729326097834e-14,1,7.870309493407517e-07,0.0011822110915539054,1.640443141982619e-05,0.00041561387496331226,0.4898777672565132,0.1753058687906278,8.789140759217038e-06,1,1,1,0,0,177,163,0.0
20,0.0,0.025,1,3.0727790862768665e-12,5.915117333884394e-06,4.1157378138183384e-12,7.503165343492788e-14,1,7.87030974861484e-07,0.001182212941296834,1.640443217923075e-05,0.00041561387496331226,0.4898777672565121,0.1753058687887055,8.789140762359066e-06,1,1,1,0,0,178,189,0.0
21,0.0,0.025,1,3.072779479608335e-12,4.353408482428141e-06,4.115735410389392e-12,7.488103620336196e-14,1,7.870309497334688e-07,0.0011822086252254989,1.6404431463229403e-05,0.00041561237904113506,0.4898777672565383,0.17530586878962418,8.789140759489251e-06,1,1,1,0,0,194,180,0.0
22,0.0,0.025,1,3.0727772256888373e-12,5.915117333884394e-06,4.115226832820403e-12,7.031519324093238e-14,1,7.870309508284e-07,0.0011822123247161793,1.6404431493705374e-05,0.0004156140886660409,0.4898777672565484,0.17530586879036586,8.789140759650888e-06,1,1,1,0,0,187,178,0.0
23,0.0,0.025,1,3.0727792446207247e-12,6.722620413208828e-06,4.115750755647111e-12,7.39253048093447e-14,1,7.870309571103326e-07,0.0011822098583903454,1.6404431708239202e-05,0.0004156132338544671,0.48987776725651444,0.17530586878871815,8.789140760606753e-06,1,1,1,0,0,190,198,0.0
24,0.0,0.025,1,3.0727777071650967e-12,4.676310850554341e-06,4.115732361676952e-12,7.547142868549856e-14,1,7.87030966372136e-07,0.0011822123247161793,1.6404431943537694e-05,0.00041561387496331226,0.4898777672565333,0.1753058687906933,8.789140761337045e-06,1,1,1,0,0,188,177,0.0
25,0.0,0.025,1,3.0727776325130295e-12,5.122641877509565e-06,4.115735395287401e-12,7.423721711977122e-14,1,7.870309522303285e-07,0.001182214791036868,1.6404431537107627e-05,0.0004156149434758567,0.48987776725654686,0.17530586878988486,8.78914075960513e-06,1,1,1,0,0,180,163,0.0
26,0.0,0.025,1,3.0727787154880177e-12,6.613302226726415e-06,4.11574196247665e-12,7.486895915594575e-14,1,7.870309490443019e-07,0.0011822141744571783,1.6404431444500566e-05,0.00041561451607116857,0.48987776725651877,0.17530586878921123,8.78914075928726e-06,1,1,1,0,0,166,179,0.0
27,0.0,0.025,1,3.072776989071139e-12,4.829673078902935e-06,4.1157320337094956e-12,7.978064925911361e-14,1,7.870309587953254e-07,0.0011822123247161793,1.6404431713501442e-05,0.0004156140886660409,0.4898777672565359,0.17530586878957088,8.789140760481741e-06,1,1,1,0,0,182,199,0.0
28,0.0,0.025,1,3.0727796264134133e-12,4.829673078902935e-06,4.115745184628283e-12,7.489485980211995e-14,1,7.870309671921876e-07,0.0011822110915539054,1.6404431950664647e-05,0.00041561366126047374,0.48987776725651905,0.17530586879124882,8.789140761509362e-06,1,1,1,0,0,189,172,0.0
29,0.0,0.025,1,3.0727785640457232e-12,6.273929367455621e-06,4.1156689318869185e-12,7.234470481631486e-14,1,7.870309478258181e-07,0.0011822067754758171,1.640443138319423e-05,0.00041561216533752735,0.48987776725650556,0.17530586878918467,8.789140759303325e-06,1,1,1,0,0,184,171,0.0
30,0.0,0.025,1,3.0727788795203945e-12,5.533085616490783e-06,4.1157418895841e-12,7.137109525068188e-14,1,7.870309573021426e-07,0.0011822117081352029,1.6404431637034845e-05,0.0004156140886660409,0.4898777672565533,0.17530586879044177,8.789140760028865e-06,1,1,1,0,0,181,187,0.0
31,0.0,0.025,1,3.07278084911375e-12,6.722620413208828e-06,4.115735096819227e-12,7.489014027274722e-14,1,7.870309584132278e-07,0.001182210474972286,1.640443170401957e-05,0.0004156132338544671,0.489877767256517,0.17530586878958265,8.789140760455046e-06,1,1,1,0,0,196,179,0.0
32,0.0,0.025,1,3.0727794249915366e-12,4.353408482428141e-06,4.1157419751806e-12,7.48655322346181e-14,1,7.870309547944127e-07,0.001182212941296834,1.6404431603134492e-05,0.0004156140886660409,0.48987776725653226,0.17530586878961604,8.789140760047801e-06,1,1,1,0,0,184,163,0.0
33,0.0,0.025,1,3.0727806475558187e-12,5.915117333884394e-06,4.115759993232421e-12,7.231018490437608e-14,1,7.870309450936441e-07,0.001182209241808083,1.6404431336266137e-05,0.00041561302015129893,0.48987776725652954,0.1753058687908236,8.78914075904053e-06,1,1,1,0,0,178,165,0.0
34,0.0,0.025,1,3.0727780060205737e-12,6.037091348628669e-06,4.1154837705189315e-12,7.033114338367717e-14,1,7.870309466416814e-07,0.0011822110915539054,1.6404431357365023e-05,0.00041561387496331226,0.489877767256507,0.17530586878819762,8.789140759051945e-06,1,1,1,0,0,182,163,0.0
35,0.0,0.025,1,3.072779496706564e-12,4.829673078902935e-06,4.1157299865406945e-12,7.481541210350684e-14,1,7.870309664697068e-07,0.0011822141744571783,1.6404431954858473e-05,0.0004156149434758567,0.489877767256537,0.17530586879039334,8.789140761320887e-06,1,1,1,0,0,181,188,0.0
36,0.0,0.025,1,3.0727788695775426e-12,5.122641877509565e-06,4.115727063960989e-12,7.120237891346944e-14,1,7.870309701208511e-07,0.0011822117081352029,1.6404432047141994e-05,0.00041561387496331226,0.48987776725654947,0.1753058687900448,8.789140761727278e-06,1,1,1,0,0,185,167,0.0
37,0.0,0.025,1,3.072781239226974e-12,5.915117333884394e-06,4.115747857659055e-12,7.13124071550638e-14,1,7.87030954858009e-07,0.001182209241808083,1.6404431579900517e-05,0.0004156132338544671,0.4898777672565226,0.1753058687906293,8.789140759820353e-06,1,1,1,0,0,183,169,0.0
38,0.0,0.025,1,3.072778964549571e-12,5.533085616490783e-06,4.11573371239173e-12,7.129215182833793e-14,1,7.870309645553338e-07,0.001182209241808083,1.6404431888981505e-05,0.0004156128064480208,0.489877767256548,0.17530586879044321,8.78914076107029e-06,1,1,1,0,0,187,194,0.0
39,0.0,0.025,1,3.0727778962221536e-12,6.037091348628669e-06,4.1157341003125085e-12,7.22370529519537e-14,1,7.870309575058737e-07,0.001182214791036868,1.640443166382231e-05,0.00041561451607116857,0.48987776725650406,0.17530586878938875,8.78914076045266e-06,1,1,1,0,0,179,170,0.0
40,0.0,0.025,1,3.072777407861821e-12,5.399738656763835e-06,4.1155251735813024e-12,7.027570308353301e-14,1,7.87030957570623e-07,0.001182216024195283,1.6404431665420267e-05,0.0004156143023686597,0.489877767256535,0.1753058687896221,8.78914076044813e-06,1,1,1,0,0,184,165,0.0
