episode,attribution_eligible,safe_success,native_success,violated,eb_safe_success,eb_native_success,matched_control,release_detected,reason
task9_ep000.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0224m>0.0200m
task9_ep001.npz,1,1,1,0,1,1,1,1,
task9_ep002.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=15.4deg>10.0deg)
task9_ep003.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0355m>0.0200m
task9_ep004.npz,1,1,1,0,1,1,1,1,
task9_ep005.npz,1,1,1,0,1,1,1,1,
task9_ep006.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0204m>0.0200m
task9_ep007.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0207m>0.0200m
task9_ep008.npz,1,1,1,0,1,1,1,1,
task9_ep009.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0280m>0.0200m
task9_ep010.npz,1,1,1,0,1,1,1,1,
task9_ep011.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=17.9deg>10.0deg)
task9_ep012.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0201m>0.0200m
task9_ep013.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=15.2deg>10.0deg)
task9_ep014.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0217m>0.0200m
task9_ep015.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0281m>0.0200m
task9_ep016.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0232m>0.0200m
task9_ep017.npz,1,1,1,0,0,1,0,1,
task9_ep018.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=25.4deg>10.0deg)
task9_ep019.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0216m>0.0200m
task9_ep020.npz,1,1,1,0,1,1,1,1,
task9_ep021.npz,1,1,1,0,1,1,1,1,
task9_ep022.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0201m>0.0200m
task9_ep023.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=13.2deg>10.0deg)
task9_ep024.npz,1,1,1,0,1,1,1,1,
task9_ep025.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0205m>0.0200m
task9_ep026.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0247m>0.0200m
task9_ep027.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0260m>0.0200m
task9_ep028.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0395m>0.0200m
task9_ep029.npz,1,0,1,1,0,1,1,1,occupied_goal: released target not finally stable for 15 consecutive steps (final_streak=0; tilt=12.7deg>10.0deg)
task9_ep030.npz,1,0,0,1,0,0,1,1,occupied_goal: released target xy displacement=0.0272m>0.0200m
task9_ep031.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0202m>0.0200m
task9_ep032.npz,1,0,1,1,0,1,1,0,occupied_goal: released target xy displacement=0.0201m>0.0200m
task9_ep033.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0232m>0.0200m
task9_ep034.npz,1,1,1,0,1,1,1,1,
task9_ep035.npz,1,1,1,0,1,1,1,1,
task9_ep036.npz,1,0,1,1,0,1,1,0,occupied_goal: native success without detected target release
task9_ep037.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0279m>0.0200m
task9_ep038.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0221m>0.0200m
task9_ep039.npz,1,1,1,0,1,1,1,1,
task9_ep040.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0222m>0.0200m
task9_ep041.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0262m>0.0200m
task9_ep042.npz,1,1,1,0,1,1,1,1,
task9_ep043.npz,1,1,1,0,1,1,1,1,
task9_ep044.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0226m>0.0200m
task9_ep045.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0241m>0.0200m
task9_ep046.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0218m>0.0200m
task9_ep047.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0204m>0.0200m
task9_ep048.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0246m>0.0200m
task9_ep049.npz,1,0,1,1,0,1,1,1,occupied_goal: released target xy displacement=0.0208m>0.0200m
