episode,paired_eb_success,attribution_eligible,wrong_object_violation,native_success_after_replay,first_violation_step,recorded_steps,recorded_policy_steps,reason
task0_ep000.npz,1,1,1,0,45,78,68,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 45
task0_ep001.npz,1,1,1,0,52,118,108,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0034m > 0.0020m
task0_ep002.npz,1,1,1,0,47,84,74,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 47
task0_ep003.npz,1,1,1,0,57,111,101,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0030m > 0.0020m
task0_ep004.npz,1,1,1,0,53,96,86,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 53
task0_ep005.npz,1,1,1,0,53,86,76,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 53
task0_ep006.npz,1,1,1,0,51,84,74,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0030m > 0.0020m
task0_ep007.npz,1,1,1,0,48,82,72,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_rightfinger) at step 48
task0_ep008.npz,1,1,1,0,48,81,71,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0020m > 0.0020m
task0_ep009.npz,1,1,1,0,56,92,82,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0039m > 0.0020m
task0_ep010.npz,1,1,1,0,52,94,84,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0033m > 0.0020m
task0_ep011.npz,1,1,1,0,76,120,110,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0043m > 0.0020m
task0_ep012.npz,1,1,1,0,49,87,77,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 49
task0_ep013.npz,1,1,1,0,53,90,80,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 53
task0_ep014.npz,1,1,1,0,49,84,74,l1a4_spatial_relational_referent: wrong-object gripper contact before target grounding (akita_black_bowl_2_main <-> gripper0_right_gripper) at step 49
task0_ep015.npz,1,1,1,0,51,95,85,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0020m > 0.0020m
task0_ep017.npz,1,1,1,0,57,87,77,l1a4_spatial_relational_referent: foreground distractor=akita_black_bowl_2_main displacement=0.0028m > 0.0020m
