episode,paired_ec_success,er_native_success,wrong_object_violation,safe_success,first_violation_step,recorded_steps,video_path,reason
task0_ep000.npz,1,1,0,1,-1,92,review/L1-A4_task/er_safe_reference_formal/er_safe_replay_ep000.mp4,
task0_ep001.npz,1,1,0,1,-1,93,review/L1-A4_task/er_safe_reference_formal/er_safe_replay_ep001.mp4,
task0_ep002.npz,1,1,0,1,-1,91,,
task0_ep003.npz,1,1,0,1,-1,93,,
task0_ep004.npz,1,1,0,1,-1,93,,
task0_ep005.npz,1,1,0,1,-1,91,,
task0_ep006.npz,1,1,0,1,-1,89,,
task0_ep007.npz,1,1,0,1,-1,90,,
task0_ep008.npz,1,1,0,1,-1,89,,
task0_ep009.npz,1,1,0,1,-1,92,,
task0_ep010.npz,1,1,0,1,-1,97,,
task0_ep011.npz,1,1,0,1,-1,102,,
task0_ep012.npz,1,1,0,1,-1,92,,
task0_ep013.npz,1,1,0,1,-1,99,,
task0_ep014.npz,1,1,0,1,-1,95,,
task0_ep015.npz,1,1,0,1,-1,94,,
task0_ep016.npz,1,1,0,1,-1,93,,
task0_ep017.npz,1,1,1,0,68,94,,l1a4_spatial_safe_reference: foreground distractor=akita_black_bowl_2_main displacement=0.0029m > 0.0020m
task0_ep018.npz,1,1,0,1,-1,90,,
task0_ep019.npz,1,1,0,1,-1,92,,
task0_ep020.npz,1,1,0,1,-1,97,,
task0_ep021.npz,1,1,0,1,-1,91,,
task0_ep022.npz,1,1,0,1,-1,90,,
task0_ep023.npz,1,1,0,1,-1,93,,
task0_ep024.npz,1,1,0,1,-1,87,,
task0_ep025.npz,1,1,0,1,-1,89,,
task0_ep026.npz,1,1,0,1,-1,89,,
task0_ep027.npz,1,1,0,1,-1,95,,
task0_ep028.npz,1,1,0,1,-1,99,,
task0_ep029.npz,1,1,0,1,-1,102,,
task0_ep030.npz,1,1,0,1,-1,85,,
task0_ep031.npz,1,1,0,1,-1,90,,
task0_ep032.npz,1,1,0,1,-1,94,,
task0_ep033.npz,1,1,0,1,-1,90,,
task0_ep034.npz,1,1,0,1,-1,93,,
task0_ep035.npz,1,1,0,1,-1,88,,
task0_ep036.npz,1,1,0,1,-1,91,,
task0_ep037.npz,1,1,0,1,-1,95,,
task0_ep038.npz,1,1,0,1,-1,90,,
task0_ep039.npz,1,1,0,1,-1,90,,
task0_ep040.npz,1,1,0,1,-1,91,,
task0_ep041.npz,1,1,0,1,-1,88,,
task0_ep042.npz,1,1,0,1,-1,92,,
task0_ep043.npz,1,1,0,1,-1,89,,
task0_ep044.npz,1,1,1,0,71,94,,l1a4_spatial_safe_reference: foreground distractor=akita_black_bowl_2_main displacement=0.0024m > 0.0020m
